uniqueId,date,index_name,company,type,rating,price,fluct_rate
134289279133792,2022-05-20,D30,DJ,non-LargeCap,1,214,6.44
134289279128416,2022-10-02,SOX,NASDAQ,non-LargeCap,3,111,7.71
134289279128176,2022-11-05,SOX,NASDAQ,non-LargeCap,3,215,18.03
134289279127888,2022-06-09,IA,DJ,non-LargeCap,3,150,18.05
134289279134224,2022-06-12,500,SNP,LargeCap,3,106,6.19
134289279132832,2022-07-08,NDX,NASDAQ,non-LargeCap,3,,19.54
134289279128320,,SOX,NASDAQ,non-LargeCap,2,136,19.75
134289279132928,2022-10-06,NDX,NASDAQ,non-LargeCap,4,131,18.17
134289279133552,2022-05-07,DSI,DJ,non-LargeCap,2,140,11.01
134289279132880,2022-06-22,DSI,DJ,non-LargeCap,2,268,11.8
134289279127744,2022-11-29,DSI,DJ,non-LargeCap,5,198,
134289279136912,2022-03-12,D30,DJ,non-LargeCap,1,165,12.06
134289279135088,2022-07-29,SOX,NASDAQ,non-LargeCap,4,143,12.16
134289279134320,2022-07-30,SOX,NASDAQ,non-LargeCap,2,106,17.56
134289279135376,2022-08-30,SOX,NASDAQ,non-LargeCap,3,156,18.16
134289279132640,2022-01-30,NDX,NASDAQ,non-LargeCap,3,225,18.31
134289279135472,2022-06-17,300,SNP,LargeCap,3,116,
134289279132016,2022-05-18,SOX,NASDAQ,non-LargeCap,4,109,10.19
134289279131920,2022-03-05,IA,DJ,non-LargeCap,4,156,23.86
134289279128368,,IA,DJ,non-LargeCap,1,141,19.39
134289279132064,2022-04-20,DSI,DJ,non-LargeCap,2,197,10.28
134289279134800,2022-07-20,500,SNP,LargeCap,4,149,16.99
134289279128512,2022-02-25,D30,DJ,non-LargeCap,3,113,6.6
134289279134896,2022-06-26,SOX,NASDAQ,non-LargeCap,5,165,13.37
134289279130000,,NQGI,NASDAQ,non-LargeCap,4,249,20.26
134289279133408,2022-01-16,500,SNP,LargeCap,3,153,12.07
134289279135040,2022-07-31,DSI,DJ,non-LargeCap,3,208,17.75
134289279133312,2022-07-17,NQGI,NASDAQ,non-LargeCap,3,134,20.39
134289279133072,,D30,DJ,non-LargeCap,2,152,
134289279130672,2022-06-19,400,SNP,LargeCap,1,100,19.39
134289279132976,2022-06-17,400,SNP,LargeCap,3,105,10.01
134289279127648,2022-04-22,SOX,NASDAQ,non-LargeCap,3,113,7.99
134289279128560,,NDX,NASDAQ,non-LargeCap,2,224,16.97
134289279127312,2022-09-07,500,SNP,LargeCap,4,134,14.08
134289279123856,2022-03-26,SOX,NASDAQ,non-LargeCap,3,154,7.17
134289279126928,2022-06-16,NQGI,NASDAQ,non-LargeCap,,104,14.53
134289279134944,2022-06-22,DSI,DJ,non-LargeCap,4,107,17.79
134289279127936,2022-04-17,SOX,NASDAQ,non-LargeCap,3,187,10.47
134289279127840,2022-05-25,IA,DJ,non-LargeCap,3,120,22.84
134289279131968,2022-03-09,SOX,NASDAQ,non-LargeCap,4,156,21.27
134289279123664,,DSI,DJ,non-LargeCap,3,210,22.46
134289279131536,2022-04-28,500,SNP,LargeCap,3,133,10.23
134289279131488,2022-03-27,NDX,NASDAQ,non-LargeCap,2,230,11.06
134289279126688,2022-05-24,SOX,NASDAQ,non-LargeCap,3,112,9.24
134289279134992,2022-09-07,400,SNP,LargeCap,2,162,16.87
134289279131392,2022-06-18,400,SNP,LargeCap,2,110,15.68
134289279132736,2022-09-05,SOX,NASDAQ,non-LargeCap,4,140,14.85
134289279133216,2022-10-03,NQGI,NASDAQ,non-LargeCap,3,170,18.92
134289279133120,2022-01-12,NQGI,NASDAQ,non-LargeCap,4,174,17.28
134289279131440,2022-02-23,SOX,NASDAQ,non-LargeCap,4,139,15.74
134289279126640,2022-04-14,400,SNP,LargeCap,5,133,19.26
134289279130624,2022-06-19,NQGI,NASDAQ,non-LargeCap,2,209,13.23
134289279128464,2022-03-30,500,SNP,LargeCap,3,117,22.05
134289279136672,2022-08-17,500,SNP,LargeCap,2,115,6.24
134289279132784,2022-11-01,D30,DJ,non-LargeCap,,217,18.97
134289279130576,2022-04-08,NQGI,NASDAQ,non-LargeCap,2,143,12.1
134289279125200,2022-08-01,300,SNP,LargeCap,3,151,13.98
134289279128608,2022-03-24,500,SNP,LargeCap,2,203,22.57
134289279129952,2022-09-28,NQGI,NASDAQ,non-LargeCap,4,163,16.15
134289279126736,2022-04-10,300,SNP,LargeCap,3,238,18.58
134289279139360,2022-02-21,IA,DJ,non-LargeCap,1,155,12.87
134289279127696,2022-06-01,300,SNP,LargeCap,2,120,16.11
134289279133264,2022-06-17,IA,DJ,non-LargeCap,1,113,
134289279132688,2022-06-16,500,SNP,LargeCap,4,166,14.29
134289279131824,2022-08-15,IA,DJ,non-LargeCap,5,172,21.59
134289279131776,2022-01-13,SOX,NASDAQ,non-LargeCap,2,120,13.06
134289279135280,,500,SNP,LargeCap,4,123,12.04
134289279135328,2022-10-19,D30,DJ,non-LargeCap,3,211,12.23
134289279135424,2022-06-06,IA,DJ,non-LargeCap,4,102,6.4
134289279135520,2022-03-08,300,SNP,LargeCap,2,226,15.61
134289279139696,2022-08-24,IA,DJ,non-LargeCap,2,107,8.11
134289279139792,,DSI,DJ,non-LargeCap,2,139,19.24
134289279136720,2022-08-14,300,SNP,LargeCap,4,157,16.8
134289279136624,2022-02-05,400,SNP,LargeCap,2,175,15.59
134289279136528,2022-08-07,NDX,NASDAQ,non-LargeCap,2,190,11.15
134289279136576,2022-07-20,NDX,NASDAQ,non-LargeCap,2,219,7.64
134289279131872,2022-06-06,300,SNP,LargeCap,4,213,21.96
134289279132112,2022-02-10,NQGI,NASDAQ,non-LargeCap,,147,
134289279131728,2022-07-20,NQGI,NASDAQ,non-LargeCap,2,108,10.69
134289279131680,2022-04-23,NQGI,NASDAQ,non-LargeCap,4,190,19.49
134289279139600,2022-01-21,SOX,NASDAQ,non-LargeCap,5,162,17.92
134289279131344,2022-02-23,400,SNP,LargeCap,4,103,13.81
134289279133600,2022-03-14,NDX,NASDAQ,non-LargeCap,4,140,20.01
134289279133360,2022-06-16,D30,DJ,non-LargeCap,4,111,21.82
134289279137968,2022-05-17,500,SNP,LargeCap,2,239,15.57
134289279138016,2022-11-25,D30,DJ,non-LargeCap,5,122,8.47
134289279138064,2022-02-22,NDX,NASDAQ,non-LargeCap,4,128,14.52
134289279138160,2022-12-11,500,SNP,LargeCap,2,137,6.83
134289279138304,2022-10-24,500,SNP,LargeCap,5,168,5.89
134289279138256,2022-03-04,500,SNP,LargeCap,2,184,15.0
134289279124960,2022-07-27,SOX,NASDAQ,non-LargeCap,3,105,20.1
134289279125104,2022-06-26,DSI,DJ,non-LargeCap,4,131,15.41
134289279124528,2022-07-05,400,SNP,LargeCap,4,165,13.21
134289279138352,2022-04-05,400,SNP,LargeCap,4,118,11.99
134289279138448,2022-04-23,NDX,NASDAQ,non-LargeCap,2,199,8.81
134289279137872,2022-03-28,NQGI,NASDAQ,non-LargeCap,2,196,14.47
134289279137584,2022-02-01,NQGI,NASDAQ,non-LargeCap,3,202,9.27
134289279137536,2022-08-08,500,SNP,LargeCap,1,187,15.79
134289279137440,2022-08-13,400,SNP,LargeCap,2,153,16.08
134289279134704,2022-04-24,500,SNP,LargeCap,2,159,
134289279134752,2022-04-26,400,SNP,LargeCap,2,115,12.17
134289279134512,2022-06-03,400,SNP,LargeCap,4,140,17.52
134289279134560,2022-08-05,500,SNP,LargeCap,1,176,9.6
134289279134608,2022-07-06,IA,DJ,non-LargeCap,2,221,17.69
134289279134416,2022-02-02,SOX,NASDAQ,non-LargeCap,2,168,6.61
134289279137392,,IA,DJ,non-LargeCap,4,114,7.55
134289279137344,2022-06-11,IA,DJ,non-LargeCap,3,189,23.14
134289279136768,2022-07-05,DSI,DJ,non-LargeCap,2,178,16.97
134289279125488,2022-09-04,D30,DJ,non-LargeCap,2,154,19.44
134289279135904,2022-09-18,SOX,NASDAQ,non-LargeCap,1,258,
134289279137104,2022-07-02,400,SNP,LargeCap,4,154,20.58
134289279125536,2022-03-13,SOX,NASDAQ,non-LargeCap,3,130,22.1
134289279137824,2022-08-02,IA,DJ,non-LargeCap,3,107,14.38
134289279137296,2022-06-25,DSI,DJ,non-LargeCap,2,128,20.81
134289279135952,2022-03-27,NDX,NASDAQ,non-LargeCap,3,254,6.18
134289279129904,2022-11-06,300,SNP,LargeCap,2,166,8.96
134289279129856,2022-07-30,DSI,DJ,non-LargeCap,2,109,23.63
134289279132400,2022-05-08,NQGI,NASDAQ,non-LargeCap,3,109,14.02
134289279132352,2022-02-17,DSI,DJ,non-LargeCap,2,102,18.38
134289279126592,2022-04-22,500,SNP,LargeCap,3,160,20.57
134289279131584,2022-03-24,400,SNP,LargeCap,2,163,12.12
134289279126496,2022-09-28,IA,DJ,non-LargeCap,3,119,12.62
134289279127072,2022-07-05,300,SNP,LargeCap,2,211,12.0
134289279128128,2022-08-14,IA,DJ,non-LargeCap,4,118,13.55
134289279127024,2022-01-04,IA,DJ,non-LargeCap,3,147,16.29
134289279127120,,NQGI,NASDAQ,non-LargeCap,3,114,24.63
134289279127216,2022-08-26,500,SNP,LargeCap,4,101,19.01
134289279127168,2022-07-10,D30,DJ,non-LargeCap,4,179,9.81
134289279126976,2022-07-24,300,SNP,LargeCap,2,110,23.16
134289279130432,2022-06-06,SOX,NASDAQ,non-LargeCap,3,112,15.23
134289279127264,2022-07-23,DSI,DJ,non-LargeCap,4,231,18.06
134289279126784,2022-02-16,DSI,DJ,non-LargeCap,4,134,23.55
134289279130816,2022-05-21,400,SNP,LargeCap,3,192,16.49
134289279130864,,DSI,DJ,non-LargeCap,3,130,11.2
134289279131056,2022-12-11,D30,DJ,non-LargeCap,4,125,17.52
134289279131008,2022-05-05,300,SNP,LargeCap,3,174,10.2
134289279131200,2022-09-29,500,SNP,LargeCap,4,111,10.24
134289279131248,2022-10-04,SOX,NASDAQ,non-LargeCap,4,267,22.24
